"StartDate","EndDate","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","Q_RecaptchaScore","Age","Gender","Gender_4_TEXT","Q15","Q5","Q7","Q44","TravelScore","FitnessScore","FamilyScore","WorkScore","LeisureScore","PresentationType","CompleteFlag","confirmation","personalization","purchases","purchase_amount","top_lifestyle","max_lifestyle_value","accurate","generic","inaccurate","bundle","individual"
"2025-07-25 17:00:03","2025-07-25 17:01:19","100","75","True","2025-07-25 17:01:20","R_4QuOi3RUJlxC7Mx","anonymous","EN","1","18-24 years old","Male","","$50,000-$74,999","Exercising, going to the gym, or outdoor activities","Advancing in my career or studies is my top priority","IM_ac1nk23vrUF5PBs","0","1","0","2","0","Inaccurate_Bundle","true","I read the product page and product descriptions","Not at all","Bundle ($230.98)",230.98,"WorkScore","2",0,0,1,1,0
"2025-07-28 11:13:16","2025-07-28 11:14:30","100","73","True","2025-07-28 11:14:30","R_1wO08V2mkeJRHHF","anonymous","EN","0.8999999761581421","35-44 years old","Female","","$25,000-$49,999","Catching up on work, studying, or learning something new","I try to maintain a healthy body and mind","IM_ac1nk23vrUF5PBs","0","1","0","2","0","Accurate_Individual","true","","Definitely","Anker Portable Charger ($54.99)",54.99,"WorkScore","2",1,0,0,0,1
"2025-07-28 11:13:23","2025-07-28 11:14:46","100","82","True","2025-07-28 11:14:46","R_5iKgZlK3e03U1D3","anonymous","EN","1","65+ years old","Male","","$75,000-$99,999","Spending time at home with family","I like to stay on the move and explore new environments","IM_2ghGARjtqABRyjY","2","0","1","0","0","Generic_Individual","true","I read the product page and product descriptions","A little","Apple Airpods 4 ($129.00),JBL Clip 5 Speaker ($79.95)",208.95,"TravelScore","2",0,1,0,0,1
"2025-07-28 11:14:21","2025-07-28 11:15:30","100","68","True","2025-07-28 11:15:31","R_72WqXqmFgGHIqCw","anonymous","EN","1","25-34 years old","Female","","Less than $25,000","Watching shows, playing games, or relaxing","I focus on building a comfortable and stable home life","IM_b3K7jxlFVxXXbwy","0","0","1","0","2","Accurate_Bundle","true","","Not at all","None of the above ($0.00)",0,"LeisureScore","2",1,0,0,1,0
"2025-07-28 11:13:54","2025-07-28 11:15:59","100","125","True","2025-07-28 11:16:00","R_5kFzhbkVPj4azjc","anonymous","EN","1","35-44 years old","Female","","$50,000-$74,999","Exercising, going to the gym, or outdoor activities","I try to maintain a healthy body and mind","IM_3lbQIKzQjdSdYiy","0","3","0","0","0","Inaccurate_Individual","true","I read the product page and product descriptions","Definitely","Anker Portable Charger ($54.99),Roku Streaming Stick 4K ($46.99),HD Mini Projector ($59.99)",161.97,"FitnessScore","3",0,0,1,0,1
"2025-07-28 11:15:18","2025-07-28 11:16:07","100","48","True","2025-07-28 11:16:08","R_1Kr7Ys1psUXFkzD","anonymous","EN","0.8999999761581421","25-34 years old","Male","","$25,000-$49,999","Exploring new places or taking short trips","I try to maintain a healthy body and mind","IM_b3K7jxlFVxXXbwy","1","1","0","0","1","Generic_Individual","true","","A little","Apple Airpods 4 ($129.00)",129,"TravelScore","1",0,1,0,0,1
"2025-07-28 11:15:10","2025-07-28 11:16:10","100","60","True","2025-07-28 11:16:11","R_7U0Ohon0XDLehgd","anonymous","EN","0.8999999761581421","25-34 years old","Male","","$25,000-$49,999","Watching shows, playing games, or relaxing","I enjoy entertainment and look for ways to relax and have fun","IM_b3K7jxlFVxXXbwy","0","0","0","0","3","Inaccurate_Bundle","true","I read the product page and product descriptions","A little","None of the above ($0.00)",0,"LeisureScore","3",0,0,1,1,0
"2025-07-28 11:15:06","2025-07-28 11:16:46","100","100","True","2025-07-28 11:16:47","R_1E1P0EOwEBWN00p","anonymous","EN","0.8999999761581421","18-24 years old","Male","","Less than $25,000","Catching up on work, studying, or learning something new","I like to stay on the move and explore new environments","IM_b3K7jxlFVxXXbwy","1","0","0","1","1","Inaccurate_Individual","true","I read the product page and product descriptions","Definitely","Apple Airpods 4 ($129.00),Anker Portable Charger ($54.99),Tile by Life360 Pro ($34.99),JBL Clip 5 Speaker ($79.95)",298.93,"TravelScore","1",0,0,1,0,1
"2025-07-28 11:15:18","2025-07-28 11:16:55","100","96","True","2025-07-28 11:16:56","R_1qJrsEhFpY1Gxuh","anonymous","EN","1","35-44 years old","Male","","$75,000-$99,999","Catching up on work, studying, or learning something new","I try to maintain a healthy body and mind","IM_2ghGARjtqABRyjY","1","1","0","1","0","Accurate_Bundle","true","I read the product page and product descriptions","A little","Bundle ($230.98),HD Mini Projector ($59.99)",290.97,"TravelScore","1",1,0,0,1,0
"2025-07-28 11:14:02","2025-07-28 11:16:59","100","176","True","2025-07-28 11:16:59","R_731yellz83J9ymd","anonymous","EN","1","45-54 years old","Male","","$75,000-$99,999","Watching shows, playing games, or relaxing","I enjoy entertainment and look for ways to relax and have fun","IM_b3K7jxlFVxXXbwy","0","0","0","0","3","Generic_Bundle","true","I read the product page and product descriptions","A little","Bundle ($230.98)",230.98,"LeisureScore","3",0,1,0,1,0
